date,open,high,low,close,volume
2026-03-26,47.9,48.9,45.66,46.34,92505240.0
2026-03-25,53.75,54.35,52.05,53.05,43780312.0
2026-03-24,53.0,53.2,51.45,52.8,38677919.0
2026-03-23,52.3,53.1,51.0,51.7,50563711.0
2026-03-20,55.25,55.35,53.2,53.8,47849082.0
2026-03-19,57.0,57.2,55.05,55.35,66666228.0
2026-03-18,60.0,60.2,58.55,59.0,30042411.0
2026-03-17,60.4,61.8,59.6,59.85,25172006.0
2026-03-16,58.9,60.4,58.25,60.0,25723198.0
2026-03-13,59.55,60.45,58.95,59.15,21726887.0
2026-03-12,60.0,60.9,59.2,60.2,18845973.0
2026-03-11,62.2,62.5,60.75,60.85,22914593.0
2026-03-10,62.3,62.65,60.6,61.4,33703532.0
2026-03-09,58.05,60.8,58.0,60.55,34975196.0
2026-03-06,59.3,61.7,59.2,61.45,35578752.0
2026-03-05,60.85,61.55,59.2,59.6,28402081.0
2026-03-04,59.45,60.25,57.9,59.55,40670155.0
2026-03-03,61.25,61.8,59.9,60.25,34870591.0
2026-03-02,61.75,62.0,60.05,60.75,47704329.0
2026-02-27,63.6,64.1,62.1,62.85,42879063.0
2026-02-26,67.0,67.25,63.6,63.6,47953773.0
2026-02-25,66.9,67.6,66.0,66.35,25693979.0
2026-02-24,67.5,67.55,65.5,66.65,36470646.0
2026-02-23,68.6,69.2,67.85,68.55,16026815.0
2026-02-20,68.1,68.3,66.15,66.5,18191244.0
2026-02-16,68.45,68.65,66.6,68.4,10994774.0
2026-02-13,68.15,68.75,67.85,68.45,31010133.0
2026-02-12,70.9,70.9,68.4,69.55,27116566.0
2026-02-11,71.35,71.75,70.3,70.9,22115145.0
2026-02-10,70.0,72.7,69.85,70.4,38285514.0
2026-02-09,72.05,73.35,67.5,69.3,81408157.0
2026-02-06,70.3,72.15,70.1,71.25,22361878.0
2026-02-05,71.5,73.25,70.55,73.0,36182435.0
2026-02-04,72.15,74.2,71.1,73.15,33102956.0
2026-02-03,77.9,78.35,71.05,73.45,69863157.0
2026-02-02,79.3,79.75,76.05,77.0,36958786.0
2026-01-30,81.0,81.7,80.05,80.15,24698462.0
2026-01-29,82.0,85.2,81.2,82.95,42265026.0
2026-01-28,79.3,82.45,79.3,82.3,42786278.0
2026-01-27,79.0,79.65,77.8,78.8,19079456.0
2026-01-26,81.25,81.5,77.5,78.6,33355337.0
2026-01-23,80.1,81.45,78.75,81.25,37445685.0
2026-01-22,80.05,80.65,77.9,79.1,30687098.0
2026-01-21,75.2,80.1,74.75,78.8,34754820.0
2026-01-20,76.55,77.6,75.25,76.05,21277879.0
2026-01-19,77.15,77.9,76.0,76.75,24646651.0
2026-01-16,80.85,81.15,77.35,78.35,37472974.0
2026-01-15,81.95,82.15,78.3,79.55,36872005.0
2026-01-14,80.0,83.9,79.55,81.95,71249443.0
2026-01-13,81.55,84.15,77.6,78.45,64443100.0
2026-01-12,75.8,80.65,75.8,80.25,84959451.0
2026-01-09,71.25,75.45,71.25,74.7,39815626.0
2026-01-08,73.75,73.75,70.75,71.9,35450887.0
2026-01-07,75.5,75.8,72.5,73.75,41694040.0
2026-01-06,74.85,77.15,74.2,75.5,54590686.0
2026-01-05,70.15,75.25,68.55,73.6,135106867.0
2026-01-02,63.85,66.7,63.6,66.25,17459733.0
2025-12-31,63.8,64.3,63.3,63.95,10738145.0
2025-12-30,63.45,64.75,63.35,64.5,13797838.0
2025-12-29,64.75,66.35,63.8,63.8,22217367.0
2025-12-24,64.35,64.9,63.85,64.6,10596186.0
2025-12-23,64.5,64.7,62.7,64.35,60345906.0
2025-12-22,66.85,67.2,66.0,66.7,12582187.0
2025-12-19,66.2,66.6,65.4,66.3,21113784.0
2025-12-18,64.1,65.65,64.05,65.35,15134025.0
2025-12-17,64.4,65.55,63.65,65.2,19026047.0
2025-12-16,64.35,64.65,63.0,64.1,21674866.0
2025-12-15,66.3,66.4,64.0,64.45,36792404.0
2025-12-12,67.8,68.6,66.65,67.45,32330909.0
2025-12-11,67.85,68.0,66.35,66.75,24385473.0
2025-12-10,66.65,67.35,65.5,67.15,20220199.0
2025-12-09,67.5,68.05,66.3,66.65,25274683.0
2025-12-08,68.75,69.5,68.1,68.25,20534664.0
2025-12-05,67.5,69.2,66.55,69.2,29058269.0
2025-12-04,67.45,67.9,66.0,67.5,29196862.0
2025-12-03,68.0,69.6,67.1,67.4,29242095.0
2025-12-02,70.5,71.95,68.6,68.95,46497088.0
2025-12-01,68.25,69.1,67.5,68.35,15785474.0
2025-11-28,68.4,68.9,67.7,67.8,18946864.0
2025-11-27,68.95,70.0,67.9,68.4,24638073.0
2025-11-26,71.5,71.5,68.35,68.65,31216259.0
2025-11-25,69.65,71.75,69.6,70.65,50615478.0
2025-11-24,65.0,68.9,65.0,68.55,67219569.0
2025-11-21,63.85,65.5,62.4,64.0,38454102.0
2025-11-20,65.1,66.3,63.85,64.95,48063412.0
2025-11-19,64.65,64.9,62.85,63.5,30697647.0
2025-11-18,65.8,66.05,63.75,64.65,36505783.0
2025-11-17,66.5,67.75,66.1,66.8,22374156.0
2025-11-14,67.5,68.05,66.35,67.1,34231271.0
2025-11-13,68.25,70.2,67.85,69.1,30318325.0
2025-11-12,70.1,70.8,68.6,69.7,19881998.0
2025-11-11,70.3,70.9,68.7,69.5,14666406.0
2025-11-10,68.45,70.05,67.9,69.8,27658165.0
2025-11-07,71.5,71.85,67.5,68.25,51425431.0
2025-11-06,71.4,72.9,70.7,72.55,19658320.0
2025-11-05,70.0,71.2,68.85,70.95,29582205.0
2025-11-04,72.1,73.6,71.15,71.45,23012844.0
2025-11-03,72.0,73.95,71.6,73.45,28694776.0
2025-10-31,74.15,74.45,72.2,72.35,27234999.0
2025-10-30,77.5,77.7,73.55,74.65,40157485.0
2025-10-28,77.0,77.7,75.45,75.95,29429618.0
2025-10-27,77.0,77.35,75.65,76.1,26721925.0
2025-10-24,75.1,75.45,73.85,74.95,18828643.0
2025-10-23,73.0,74.0,71.55,73.45,26728434.0
2025-10-22,74.6,74.9,73.3,73.75,20700284.0
2025-10-21,75.55,77.2,75.05,75.55,27577113.0
2025-10-20,76.05,76.3,72.95,74.1,25581920.0
2025-10-17,76.0,76.0,72.4,72.95,41523666.0
2025-10-16,77.2,77.55,75.3,76.0,28141299.0
2025-10-15,75.35,77.05,74.6,76.5,39646503.0
2025-10-14,80.5,82.3,74.15,75.0,74381335.0
2025-10-13,81.35,82.75,77.65,80.45,69344398.0
2025-10-10,87.65,88.65,83.8,83.9,45664028.0
2025-10-09,85.85,89.85,83.1,88.8,66738764.0
2025-10-08,87.05,87.1,84.7,85.75,22146122.0
2025-10-06,88.7,88.8,86.6,87.7,16223092.0
2025-10-03,91.05,91.05,87.1,88.7,39247860.0
2025-10-02,87.1,92.6,86.8,91.85,76114124.0
2025-09-30,79.2,85.0,78.4,84.6,71891789.0
2025-09-29,75.4,79.1,75.4,78.9,39104002.0
2025-09-26,78.05,78.05,75.1,75.6,25536275.0
2025-09-25,76.05,79.6,75.6,78.15,38028175.0
2025-09-24,72.9,78.3,72.9,76.85,46324874.0
2025-09-23,73.85,74.2,72.25,74.05,27696281.0
2025-09-22,71.05,75.0,71.05,74.0,63106513.0
2025-09-19,76.5,77.3,73.45,75.8,50348893.0
2025-09-18,78.2,78.75,75.5,76.35,49139140.0
2025-09-17,75.5,78.7,75.2,78.2,59420789.0
2025-09-16,76.5,77.4,74.8,75.55,24577089.0
2025-09-15,74.3,76.95,74.0,76.0,37851428.0
2025-09-12,75.0,76.2,73.95,75.25,34433732.0
2025-09-11,73.45,74.05,71.7,73.35,30229650.0
2025-09-10,73.65,75.25,72.65,74.15,36515242.0
2025-09-09,70.5,73.5,70.15,72.95,43155014.0
2025-09-08,72.0263,72.225,69.0459,69.94,60079579.0
2025-09-05,69.5426,72.4733,69.3439,72.4733,66576369.0
2025-09-04,72.2746,72.523,68.6982,69.4433,49102188.0
2025-09-03,71.8276,72.672,71.0328,71.5295,28728171.0
2025-09-02,72.8707,72.9701,70.8341,71.2812,45311666.0
2025-09-01,75.8511,77.1923,72.225,73.1191,54979215.0
2025-08-29,77.4903,77.4903,73.5662,74.8577,43210862.0
2025-08-28,75.9505,76.5962,74.5596,75.9505,32913036.0
2025-08-27,79.0799,80.6198,75.2054,75.9505,51237365.0
2025-08-26,77.5897,79.2786,76.9936,78.5832,39264739.0
2025-08-25,75.9008,78.8812,75.3047,78.2354,57713452.0
2025-08-22,71.4302,74.808,68.7478,74.4106,80053212.0
2025-08-21,71.4302,72.8211,70.6354,71.2812,30745796.0
2025-08-20,72.1753,72.1753,68.5988,71.4302,62430963.0
2025-08-19,73.2184,75.106,72.225,73.5165,29924348.0
2025-08-18,73.8145,75.0067,72.523,73.2184,35017528.0
2025-08-15,73.7152,75.255,72.8707,74.3112,30543394.0
2025-08-14,75.6524,76.5962,74.1126,74.7086,31970460.0
2025-08-13,72.3243,74.5099,71.5295,74.4603,52707265.0
2025-08-12,77.54,77.9374,70.3871,71.1322,113868221.0
2025-08-11,78.7818,79.974,77.2916,78.3845,25609832.0
2025-08-08,78.9309,79.5766,77.7387,78.6328,25022120.0
2025-08-07,80.4707,81.1165,78.1858,79.4773,32644385.0
2025-08-06,78.8315,80.0734,77.4407,79.3779,35948430.0
2025-08-05,78.0367,79.1792,75.8014,78.6328,51599683.0
2025-08-04,73.1191,76.9936,72.2746,76.4969,43768700.0
2025-08-01,77.4903,78.4838,73.7152,74.1126,53555156.0
2025-07-31,72.0263,78.4838,71.5792,76.4969,88972514.0
2025-07-30,71.7282,73.4171,70.5858,71.9269,40098176.0
2025-07-29,71.8276,72.225,69.94,71.6289,45509867.0
2025-07-28,72.4733,73.5662,71.0328,72.225,40443486.0
2025-07-25,74.5099,75.0563,71.5792,72.0263,67591246.0
2025-07-24,77.8381,79.4276,75.3544,75.7021,65945996.0
2025-07-23,73.1688,78.3348,72.6224,77.391,79279566.0
2025-07-22,70.7348,73.6158,70.6851,72.2746,38402289.0
2025-07-21,71.3805,72.0263,69.8903,70.9831,36007261.0
2025-07-18,69.8903,71.5295,68.4498,70.238,45613544.0
2025-07-17,68.6485,69.642,67.9531,68.6982,30068040.0
2025-07-16,68.8472,70.4367,68.4001,69.1452,57188105.0
2025-07-15,64.8237,67.9034,64.774,67.7047,51034913.0
2025-07-14,63.0851,65.0223,62.9857,64.8237,26875715.0
2025-07-11,64.0289,65.4694,61.0982,62.7374,46731687.0
