date,open,high,low,close,volume
2026-03-19,70.0,71.35,69.25,70.0,3062880.0
2026-03-18,72.95,73.15,71.55,72.4,1520320.0
2026-03-17,72.55,75.2,71.95,72.5,2320200.0
2026-03-16,70.0,72.7,69.3,72.0,2485000.0
2026-03-13,72.25,74.45,69.75,70.3,3329610.0
2026-03-12,74.0,75.25,71.1,71.3,2153559.0
2026-03-11,76.25,76.25,74.35,74.8,2082000.0
2026-03-10,73.5,76.2,73.5,75.25,3518434.0
2026-03-09,69.3,72.0,68.25,71.75,3210600.0
2026-03-06,69.05,72.4,69.0,71.3,5738012.0
2026-03-05,73.0,73.2,70.75,71.0,2697750.0
2026-03-04,71.85,74.05,69.75,71.05,3544941.0
2026-03-03,73.8,75.3,71.65,72.6,2737527.0
2026-03-02,72.8,74.25,72.25,73.75,2806267.0
2026-02-27,75.0,76.95,73.3,73.9,2991424.0
2026-02-26,77.0,78.75,75.2,75.55,2179400.0
2026-02-25,75.35,78.15,75.35,77.8,1907800.0
2026-02-24,78.8,78.8,74.45,75.35,4105452.0
2026-02-23,78.0,79.9,77.9,78.9,890400.0
2026-02-20,79.5,80.85,75.65,77.75,1737859.0
2026-02-16,78.45,80.85,76.65,80.85,470224.0
2026-02-13,79.8,79.95,77.75,78.05,2698428.0
2026-02-12,80.55,81.75,78.5,81.0,2195026.0
2026-02-11,82.9,83.95,80.25,80.55,2619918.0
2026-02-10,82.7,84.4,81.6,82.1,2873722.0
2026-02-09,84.8,85.85,82.2,82.6,3715729.0
2026-02-06,79.8,81.9,78.0,79.25,4055590.0
2026-02-05,76.8,82.0,75.5,81.3,6916091.0
2026-02-04,84.55,84.55,78.1,78.1,7822044.0
2026-02-03,88.0,89.2,78.55,84.55,8780888.0
2026-02-02,85.95,92.0,84.8,85.9,6857388.0
2026-01-30,89.0,89.55,84.6,85.95,3303019.0
2026-01-29,91.8,92.45,88.3,88.85,2755581.0
2026-01-28,84.2,91.8,83.85,91.8,6661536.0
2026-01-27,82.8,83.75,81.0,82.55,2135600.0
2026-01-26,82.9,85.75,81.35,82.55,3290616.0
2026-01-23,81.0,83.2,81.0,81.6,2168292.0
2026-01-22,81.0,82.15,79.95,81.1,2627768.0
2026-01-21,79.5,81.6,78.5,81.0,2106910.0
2026-01-20,83.45,83.45,78.95,80.0,3873855.0
2026-01-19,85.15,85.85,82.05,83.5,3654638.0
2026-01-16,84.9,87.45,83.4,86.0,3148995.0
2026-01-15,84.15,85.55,83.2,84.9,2170634.0
2026-01-14,84.1,85.65,82.1,84.15,3715889.0
2026-01-13,79.6,85.0,77.4,84.85,6382871.0
2026-01-12,78.5,79.2,77.1,79.0,3658614.0
2026-01-09,75.5,78.0,74.45,77.5,4900408.0
2026-01-08,69.7,74.8,69.0,74.2,5282797.0
2026-01-07,70.0,71.0,68.25,69.7,2518176.0
2026-01-06,68.85,72.15,68.45,70.2,5538918.0
2026-01-05,65.45,68.0,65.0,66.2,2583383.0
2026-01-02,65.05,66.25,64.15,65.4,852200.0
2025-12-31,65.0,65.85,64.5,64.85,1156600.0
2025-12-30,63.9,66.3,63.9,64.95,2536414.0
2025-12-29,64.0,64.55,62.7,63.15,2660000.0
2025-12-24,65.0,65.2,63.0,64.55,1024395.0
2025-12-23,63.4,65.3,62.55,64.95,2390620.0
2025-12-22,62.0,63.8,61.5,63.4,2339560.0
2025-12-19,61.85,62.6,61.0,61.35,3803600.0
2025-12-18,60.95,62.3,60.35,61.85,2161200.0
2025-12-17,61.05,61.5,59.6,61.4,2364544.0
2025-12-16,62.9,63.35,60.05,61.05,3074707.0
2025-12-15,62.5,63.75,61.2,62.75,4227200.0
2025-12-12,62.3,62.95,60.4,62.75,18116200.0
2025-12-11,63.15,64.45,61.55,62.15,3438600.0
2025-12-10,64.6,64.6,60.7,63.15,4700100.0
2025-12-09,65.0,65.7,63.5,64.6,2649574.0
2025-12-08,67.3,67.5,63.5,64.95,2948327.0
2025-12-05,66.2,67.3,65.05,67.3,2704400.0
2025-12-04,69.4,69.4,66.1,66.4,2794815.0
2025-12-03,73.85,73.85,68.35,68.5,3555800.0
2025-12-02,73.7,74.2,72.55,72.95,1752700.0
2025-12-01,71.1,75.45,71.05,73.65,3884640.0
2025-11-28,70.0,71.2,70.0,70.65,1014400.0
2025-11-27,71.0,71.8,69.55,69.75,1415600.0
