date,open,high,low,close,volume
2026-03-19,1.243,1.268,1.243,1.254,40600100
2026-03-18,1.232,1.272,1.232,1.27,51797100
2026-03-17,1.256,1.262,1.231,1.231,22747400
2026-03-16,1.255,1.258,1.23,1.257,30231400
2026-03-13,1.277,1.289,1.254,1.259,38489600
2026-03-12,1.292,1.313,1.28,1.29,26598700
2026-03-11,1.299,1.308,1.289,1.292,25234000
2026-03-10,1.298,1.319,1.284,1.304,40682206
2026-03-09,1.249,1.295,1.23,1.289,54308700
2026-03-06,1.239,1.263,1.239,1.262,18622800
2026-03-05,1.254,1.264,1.241,1.249,21076800
2026-03-04,1.231,1.264,1.23,1.239,26403000
2026-03-03,1.298,1.309,1.242,1.246,34988100
2026-03-02,1.312,1.326,1.297,1.305,30285900
2026-02-27,1.303,1.351,1.298,1.34,23129200
2026-02-26,1.305,1.324,1.295,1.319,28900700
2026-02-25,1.309,1.314,1.297,1.303,30029200
2026-02-24,1.35,1.353,1.305,1.312,18166100
2026-02-13,1.328,1.35,1.325,1.33,128476400
2026-02-12,1.307,1.34,1.307,1.338,39000600
2026-02-11,1.306,1.319,1.304,1.306,80516002
2026-02-10,1.306,1.32,1.301,1.313,25621300
2026-02-09,1.287,1.306,1.283,1.305,30787090
2026-02-06,1.265,1.285,1.253,1.268,23050800
2026-02-05,1.284,1.286,1.269,1.274,21077100
2026-02-04,1.304,1.304,1.271,1.289,40495900
2026-02-03,1.295,1.319,1.281,1.319,80857400
2026-02-02,1.316,1.333,1.285,1.287,29850900
2026-01-30,1.339,1.348,1.308,1.329,39244500
2026-01-29,1.343,1.39,1.335,1.355,60318800
2026-01-28,1.373,1.377,1.349,1.352,30481800
2026-01-27,1.351,1.366,1.331,1.359,23873800
2026-01-26,1.365,1.385,1.335,1.35,37793600
2026-01-23,1.35,1.366,1.341,1.366,31575400
2026-01-22,1.344,1.361,1.34,1.35,38092300
2026-01-21,1.317,1.351,1.313,1.339,35546200
2026-01-20,1.346,1.357,1.306,1.319,59318600
2026-01-19,1.36,1.371,1.344,1.346,52151800
2026-01-16,1.379,1.405,1.363,1.368,33133100
2026-01-15,1.397,1.412,1.373,1.385,75011400
2026-01-14,1.354,1.44,1.354,1.413,241298505
2026-01-13,1.409,1.542,1.35,1.354,226722700
2026-01-12,1.327,1.408,1.314,1.402,75375100
2026-01-09,1.257,1.294,1.25,1.293,33219300
2026-01-08,1.245,1.27,1.245,1.26,28271400
2026-01-07,1.264,1.264,1.243,1.252,27100300
2026-01-06,1.242,1.262,1.232,1.261,90809300
2026-01-05,1.198,1.237,1.198,1.236,37644400
2025-12-31,1.193,1.2,1.185,1.196,17497000
2025-12-30,1.182,1.194,1.179,1.189,125833100
2025-12-29,1.179,1.19,1.178,1.184,130058200
2025-12-26,1.175,1.19,1.171,1.181,32400900
2025-12-25,1.165,1.178,1.163,1.175,14503700
2025-12-24,1.156,1.17,1.154,1.168,11785400
2025-12-23,1.164,1.167,1.152,1.156,12191900
2025-12-22,1.162,1.169,1.156,1.162,13503700
2025-12-19,1.152,1.165,1.152,1.155,11285700
2025-12-18,1.156,1.162,1.15,1.151,18618500
2025-12-17,1.134,1.165,1.131,1.161,31905800
2025-12-16,1.155,1.156,1.132,1.136,58953500
2025-12-15,1.16,1.173,1.154,1.156,18773700
2025-12-12,1.162,1.177,1.154,1.174,17208200
2025-12-11,1.179,1.181,1.16,1.161,14268000
2025-12-10,1.178,1.182,1.164,1.18,40112400
2025-12-09,1.202,1.211,1.19,1.192,18001500
2025-12-08,1.187,1.209,1.187,1.203,21889300
2025-12-05,1.173,1.193,1.166,1.188,23223900
2025-12-04,1.168,1.18,1.163,1.177,12357800
2025-12-03,1.189,1.194,1.17,1.173,15952100
2025-12-02,1.211,1.211,1.188,1.192,18556100
2025-12-01,1.195,1.212,1.191,1.211,30960100
2025-11-28,1.181,1.195,1.179,1.194,14605300
2025-11-27,1.208,1.212,1.185,1.188,15910000
2025-11-26,1.199,1.211,1.189,1.198,26157100
2025-11-25,1.197,1.212,1.193,1.198,28279730
2025-11-24,1.167,1.197,1.154,1.19,33771400
2025-11-21,1.194,1.194,1.163,1.164,66374300
2025-11-20,1.223,1.235,1.2,1.201,13551700
2025-11-19,1.23,1.233,1.211,1.217,12864300
2025-11-18,1.218,1.238,1.213,1.23,17567536
2025-11-17,1.21,1.229,1.21,1.221,10232500
2025-11-14,1.236,1.236,1.211,1.212,15667200
2025-11-13,1.228,1.246,1.224,1.245,18600600
2025-11-12,1.24,1.24,1.214,1.226,35858900
2025-11-11,1.269,1.27,1.24,1.242,14424100
2025-11-10,1.261,1.274,1.251,1.264,17008500
2025-11-07,1.273,1.277,1.26,1.262,20608900
2025-11-06,1.267,1.288,1.266,1.287,23535200
2025-11-05,1.261,1.275,1.249,1.266,112347800
2025-11-04,1.304,1.304,1.274,1.281,15337400
2025-11-03,1.301,1.307,1.283,1.306,43273600
2025-10-31,1.292,1.312,1.285,1.299,23094400
2025-10-30,1.312,1.324,1.297,1.299,73657100
2025-10-29,1.301,1.314,1.293,1.314,21153700
2025-10-28,1.29,1.316,1.284,1.297,35166600
2025-10-27,1.284,1.298,1.275,1.296,67245900
2025-10-24,1.256,1.276,1.253,1.273,32598200
2025-10-23,1.241,1.25,1.219,1.248,17073100
2025-10-22,1.24,1.248,1.229,1.241,13823500
2025-10-21,1.24,1.253,1.23,1.25,25006100
2025-10-20,1.243,1.249,1.221,1.229,44029500
2025-10-17,1.274,1.274,1.223,1.224,27573200
2025-10-16,1.28,1.28,1.251,1.27,27419500
2025-10-15,1.261,1.284,1.249,1.283,47335498
2025-10-14,1.306,1.325,1.254,1.261,60546200
2025-10-13,1.258,1.322,1.257,1.311,40677100
2025-10-10,1.36,1.36,1.3,1.31,63034800
2025-10-09,1.333,1.39,1.333,1.374,72182500
2025-09-30,1.318,1.338,1.318,1.331,36338900
2025-09-29,1.296,1.321,1.28,1.314,144036000
2025-09-26,1.336,1.336,1.293,1.296,41039900
2025-09-25,1.31,1.354,1.307,1.342,47295000
2025-09-24,1.265,1.31,1.26,1.31,44037600
2025-09-23,1.307,1.307,1.242,1.27,47540898
2025-09-22,1.27,1.302,1.268,1.302,51215200
2025-09-19,1.277,1.291,1.263,1.266,38108700
2025-09-18,1.283,1.323,1.262,1.278,64432966
2025-09-17,1.281,1.291,1.262,1.29,82830900
2025-09-16,1.25,1.285,1.249,1.284,94234300
2025-09-15,1.244,1.26,1.244,1.251,38154900
2025-09-12,1.251,1.271,1.245,1.252,76757500
2025-09-11,1.199,1.25,1.182,1.249,72392800
2025-09-10,1.18,1.203,1.18,1.191,19038100
2025-09-09,1.204,1.204,1.176,1.181,46863200
2025-09-08,1.194,1.21,1.187,1.21,42793700
2025-09-05,1.166,1.197,1.152,1.196,69119300
2025-09-04,1.21,1.221,1.148,1.166,82380400
2025-09-03,1.251,1.259,1.208,1.214,45616300
2025-09-02,1.294,1.294,1.237,1.245,107303670
2025-09-01,1.307,1.325,1.281,1.299,52363400
2025-08-29,1.317,1.317,1.285,1.293,108223400
2025-08-28,1.275,1.318,1.261,1.317,90085267
2025-08-27,1.305,1.333,1.28,1.282,95070934
2025-08-26,1.287,1.311,1.28,1.297,121742321
2025-08-25,1.299,1.305,1.273,1.293,99413900
2025-08-22,1.217,1.278,1.215,1.276,98577567
2025-08-21,1.218,1.233,1.207,1.217,58192200
2025-08-20,1.192,1.225,1.176,1.221,73851200
2025-08-19,1.199,1.212,1.191,1.196,56389386
2025-08-18,1.168,1.219,1.165,1.204,163599300
2025-08-15,1.129,1.165,1.125,1.162,53784300
2025-08-14,1.138,1.156,1.128,1.132,43060500
2025-08-13,1.126,1.141,1.121,1.138,44424900
2025-08-12,1.115,1.126,1.11,1.124,40779700
2025-08-11,1.095,1.118,1.094,1.114,60569900
2025-08-08,1.119,1.119,1.095,1.095,63371400
2025-08-07,1.124,1.136,1.116,1.12,41511100
2025-08-06,1.115,1.128,1.112,1.128,44463800
2025-08-05,1.116,1.121,1.107,1.118,58496500
2025-08-04,1.1,1.116,1.1,1.114,30750200
2025-08-01,1.115,1.12,1.096,1.111,49281300
2025-07-31,1.11,1.134,1.108,1.114,77608700
2025-07-30,1.127,1.127,1.103,1.111,51620000
2025-07-29,1.115,1.13,1.102,1.128,34538100
2025-07-28,1.127,1.13,1.113,1.119,34959800
2025-07-25,1.115,1.127,1.112,1.127,53807400
2025-07-24,1.095,1.116,1.094,1.115,52574400
2025-07-23,1.095,1.109,1.091,1.097,100971400
2025-07-22,1.104,1.104,1.09,1.095,39503300
2025-07-21,1.107,1.107,1.094,1.103,47959900
2025-07-18,1.109,1.117,1.1,1.107,44436000
2025-07-17,1.085,1.107,1.082,1.105,28220300
2025-07-16,1.09,1.104,1.083,1.088,36724100
2025-07-15,1.065,1.094,1.058,1.094,44987600
2025-07-14,1.079,1.079,1.064,1.068,24620756
2025-07-11,1.056,1.083,1.049,1.075,30170500
2025-07-10,1.059,1.066,1.051,1.06,17067500
2025-07-09,1.067,1.072,1.056,1.059,35506300
2025-07-08,1.048,1.068,1.045,1.067,30326100
2025-07-07,1.047,1.053,1.041,1.047,21458800
2025-07-04,1.057,1.069,1.047,1.055,41237600
2025-07-03,1.05,1.058,1.047,1.054,28804500
2025-07-02,1.066,1.066,1.043,1.048,31088600
2025-07-01,1.073,1.073,1.057,1.066,32684907
2025-06-30,1.064,1.079,1.064,1.076,35368300
2025-06-27,1.067,1.082,1.057,1.065,42578600
2025-06-26,1.068,1.084,1.06,1.065,90174000
2025-06-25,1.035,1.071,1.032,1.069,78837800
2025-06-24,1.008,1.034,1.008,1.032,27449400
2025-06-23,0.994,1.01,0.99,1.006,33168100
2025-06-20,1.011,1.014,0.995,0.996,18289300
2025-06-19,1.028,1.031,1.008,1.011,22284600
2025-06-18,1.024,1.03,1.019,1.028,10648200
2025-06-17,1.03,1.031,1.022,1.026,8831300
2025-06-16,1.018,1.03,1.011,1.03,19246100
2025-06-13,1.029,1.031,1.015,1.019,36732578
2025-06-12,1.036,1.042,1.026,1.034,17238800
2025-06-11,1.04,1.05,1.034,1.039,26321800
2025-06-10,1.065,1.067,1.031,1.043,96228700
2025-06-09,1.047,1.057,1.042,1.055,66183400
2025-06-06,1.048,1.05,1.04,1.043,51308000
2025-06-05,1.03,1.051,1.03,1.049,48531800
2025-06-04,1.019,1.031,1.018,1.028,19161400
2025-06-03,1.014,1.028,1.013,1.019,28261800
2025-05-30,1.029,1.029,1.014,1.016,25742400
2025-05-29,1.011,1.033,1.007,1.033,35712900
2025-05-28,1.016,1.017,1.005,1.007,18895500
2025-05-27,1.022,1.022,1.01,1.015,28229000
2025-05-26,1.018,1.024,1.013,1.023,29431700
2025-05-23,1.025,1.032,1.009,1.01,35747900
2025-05-22,1.037,1.04,1.025,1.025,30493100
2025-05-21,1.041,1.041,1.033,1.037,123427900
2025-05-20,1.038,1.044,1.031,1.041,73818000
2025-05-19,1.038,1.04,1.025,1.037,33529000
2025-05-16,1.041,1.047,1.036,1.04,139162600
2025-05-15,1.073,1.073,1.043,1.045,36502800
2025-05-14,1.065,1.085,1.059,1.075,83924400
2025-05-13,1.085,1.086,1.066,1.068,80077500
2025-05-12,1.067,1.076,1.061,1.076,34420400
2025-05-09,1.072,1.074,1.056,1.058,46933900
2025-05-08,1.067,1.079,1.065,1.077,30823000
2025-05-07,1.102,1.106,1.062,1.071,66658300
2025-05-06,1.054,1.079,1.054,1.077,71754500
2025-04-30,1.023,1.047,1.022,1.045,38268700
2025-04-29,1.012,1.024,1.005,1.022,25291700
2025-04-28,1.017,1.03,1.015,1.016,85125900
2025-04-25,1.013,1.029,1.012,1.021,37461400
2025-04-24,1.031,1.034,1.009,1.013,45087700
2025-04-23,1.034,1.045,1.03,1.036,49106900
2025-04-22,1.048,1.049,1.028,1.029,140478700
2025-04-21,1.024,1.048,1.018,1.047,46451500
2025-04-18,1.027,1.028,1.015,1.023,25915400
2025-04-17,1.016,1.036,1.014,1.023,35230500
2025-04-16,1.023,1.03,1.008,1.02,31648700
2025-04-15,1.041,1.041,1.022,1.031,31590600
2025-04-14,1.05,1.052,1.036,1.038,31829000
2025-04-11,1.009,1.047,1.009,1.036,38699500
2025-04-10,1.035,1.051,1.023,1.024,212583232
2025-04-09,0.954,1.019,0.945,1.013,77356800
2025-04-08,0.977,0.993,0.949,0.976,107134000
2025-04-07,1.007,1.041,0.977,0.977,75219400
2025-04-03,1.086,1.102,1.081,1.086,37606200
2025-04-02,1.085,1.102,1.085,1.094,64091200
2025-04-01,1.1,1.105,1.087,1.089,54508300
2025-03-31,1.1,1.102,1.074,1.1,49974700
2025-03-28,1.108,1.118,1.103,1.105,48396800
2025-03-27,1.109,1.122,1.098,1.109,38255000
2025-03-26,1.11,1.119,1.105,1.108,56486800
2025-03-25,1.132,1.133,1.107,1.109,69957800
2025-03-24,1.139,1.142,1.109,1.132,55909600
2025-03-21,1.172,1.172,1.138,1.14,74508600
2025-03-20,1.208,1.208,1.176,1.178,47117100
2025-03-19,1.218,1.218,1.194,1.198,67370800
2025-03-18,1.227,1.234,1.214,1.221,45028328
2025-03-17,1.219,1.223,1.209,1.214,44935900
2025-03-14,1.191,1.219,1.186,1.219,83978400
2025-03-13,1.222,1.222,1.187,1.193,98527700
2025-03-12,1.225,1.243,1.217,1.221,60637000
2025-03-11,1.198,1.215,1.185,1.213,69106600
2025-03-10,1.234,1.24,1.204,1.217,84133300
2025-03-07,1.249,1.262,1.228,1.241,83478100
2025-03-06,1.25,1.275,1.21,1.261,139661600
2025-03-05,1.19,1.201,1.175,1.199,54845800
2025-03-04,1.157,1.184,1.149,1.182,57123500
2025-03-03,1.166,1.19,1.151,1.166,75732600
2025-02-28,1.214,1.222,1.161,1.164,102615800
2025-02-27,1.257,1.263,1.208,1.229,96883800
2025-02-26,1.252,1.261,1.234,1.26,103722500
2025-02-25,1.248,1.281,1.24,1.251,101118500
2025-02-24,1.28,1.301,1.265,1.279,74762020
2025-02-21,1.227,1.284,1.214,1.28,114351200
2025-02-20,1.208,1.222,1.195,1.211,100555900
2025-02-19,1.182,1.217,1.18,1.217,74419200
2025-02-18,1.222,1.233,1.18,1.183,99895600
2025-02-17,1.236,1.258,1.216,1.229,92777100
2025-02-14,1.176,1.224,1.169,1.22,104404300
2025-02-13,1.197,1.2,1.169,1.177,79732060
2025-02-12,1.167,1.204,1.164,1.2,179180700
2025-02-11,1.182,1.193,1.165,1.169,97897200
2025-02-10,1.168,1.187,1.152,1.185,95514600
2025-02-07,1.119,1.178,1.118,1.155,130075399
2025-02-06,1.089,1.124,1.077,1.121,138113300
2025-02-05,1.058,1.097,1.051,1.092,118693700
2025-01-27,1.053,1.06,1.018,1.019,121159400
2025-01-24,0.999,1.038,0.995,1.037,56743000
2025-01-23,1.016,1.038,1.0,1.002,71295200
2025-01-22,0.999,1.01,0.997,1.005,49336400
2025-01-21,1.002,1.007,0.992,1.007,56904500
2025-01-20,1.0,1.007,0.991,0.995,65150400
2025-01-17,0.988,1.002,0.981,0.992,64459600
2025-01-16,0.989,1.017,0.981,0.99,84909600
2025-01-15,1.0,1.0,0.982,0.984,61297900
2025-01-14,0.947,1.0,0.945,0.999,86345500
2025-01-13,0.929,0.952,0.926,0.943,74581100
2025-01-10,0.964,0.974,0.941,0.942,85522100
2025-01-09,0.95,0.974,0.95,0.968,85723400
2025-01-08,0.966,0.966,0.925,0.957,87116400
2025-01-07,0.953,0.968,0.948,0.967,60635800
2025-01-06,0.954,0.966,0.939,0.947,58750700
2025-01-03,1.0,1.0,0.953,0.954,91728000
2025-01-02,1.046,1.046,0.983,0.996,88332400
2024-12-31,1.088,1.092,1.048,1.049,84825300
2024-12-30,1.102,1.102,1.079,1.088,56458100
2024-12-27,1.107,1.119,1.087,1.091,57143910
2024-12-26,1.08,1.11,1.079,1.105,99213700
2024-12-25,1.09,1.093,1.075,1.083,73911500
2024-12-24,1.082,1.094,1.072,1.09,63846200
