date,open,high,low,close,volume
2026-03-19,0.452,0.456,0.448,0.45,5813345965
2026-03-18,0.458,0.463,0.454,0.461,7963195080
2026-03-17,0.461,0.467,0.457,0.458,6643210114
2026-03-16,0.451,0.46,0.446,0.459,8045834102
2026-03-13,0.448,0.454,0.447,0.45,5492481935
2026-03-12,0.452,0.457,0.446,0.449,5255000754
2026-03-11,0.461,0.461,0.452,0.454,5538937290
2026-03-10,0.454,0.458,0.449,0.455,7545503201
2026-03-09,0.438,0.448,0.435,0.445,9019548739
2026-03-06,0.437,0.452,0.436,0.45,8592121055
2026-03-05,0.444,0.446,0.434,0.437,7443432536
2026-03-04,0.441,0.447,0.434,0.437,10361452505
2026-03-03,0.455,0.456,0.444,0.446,7845777989
2026-03-02,0.461,0.461,0.45,0.452,7419534255
2026-02-27,0.465,0.473,0.464,0.469,6149557743
2026-02-26,0.48,0.48,0.465,0.468,5802492818
2026-02-25,0.484,0.485,0.478,0.479,4657868922
2026-02-24,0.496,0.497,0.481,0.482,6113408079
2026-02-13,0.495,0.499,0.494,0.499,3947168236
2026-02-12,0.505,0.506,0.499,0.502,5896390947
2026-02-11,0.507,0.512,0.507,0.51,3935148528
2026-02-10,0.508,0.513,0.505,0.507,5009278141
2026-02-09,0.508,0.51,0.502,0.507,7138219538
2026-02-06,0.497,0.505,0.495,0.5,7298220671
2026-02-05,0.499,0.507,0.495,0.506,8820700150
2026-02-04,0.511,0.512,0.501,0.508,8691508222
2026-02-03,0.529,0.53,0.504,0.519,11126130079
2026-02-02,0.535,0.536,0.521,0.522,6706690356
2026-01-30,0.549,0.549,0.541,0.543,4439906145
2026-01-29,0.552,0.56,0.549,0.552,7232095489
2026-01-28,0.547,0.556,0.545,0.555,7773734912
2026-01-27,0.542,0.545,0.537,0.545,4209585067
2026-01-26,0.549,0.549,0.538,0.541,4178628477
2026-01-23,0.549,0.551,0.544,0.548,3765012169
2026-01-22,0.546,0.548,0.54,0.543,3396178755
2026-01-21,0.536,0.542,0.535,0.54,4415396574
2026-01-20,0.542,0.546,0.536,0.54,4511667560
2026-01-19,0.547,0.549,0.543,0.543,3088647041
2026-01-16,0.558,0.56,0.55,0.551,4128803910
2026-01-15,0.557,0.563,0.55,0.553,6661684862
2026-01-14,0.558,0.565,0.553,0.559,9769996716
2026-01-13,0.568,0.57,0.552,0.554,8950060044
2026-01-12,0.538,0.554,0.537,0.553,8370448761
2026-01-09,0.535,0.54,0.532,0.535,4993631048
2026-01-08,0.535,0.537,0.528,0.531,4335570522
2026-01-07,0.543,0.544,0.535,0.538,4975212759
2026-01-06,0.541,0.548,0.54,0.546,5929136157
2026-01-05,0.53,0.54,0.529,0.538,8371655991
2025-12-31,0.519,0.52,0.514,0.516,3354068465
2025-12-30,0.514,0.522,0.513,0.522,4314296271
2025-12-29,0.52,0.524,0.514,0.515,4923755754
2025-12-26,0.517,0.52,0.516,0.52,2235199334
