date,open,high,low,close,volume
2026-03-19,1.276,1.29,1.264,1.279,1083410656
2026-03-18,1.254,1.283,1.234,1.251,708973516
2026-03-17,1.277,1.295,1.253,1.26,902476082
2026-03-16,1.324,1.335,1.28,1.288,967446378
2026-03-13,1.336,1.36,1.317,1.319,1075974706
2026-03-12,1.282,1.342,1.269,1.335,1397009544
2026-03-11,1.229,1.273,1.215,1.268,866617771
2026-03-10,1.205,1.254,1.204,1.234,954374751
2026-03-09,1.3,1.33,1.268,1.276,1769738989
2026-03-06,1.235,1.245,1.217,1.237,694562544
2026-03-05,1.231,1.266,1.218,1.252,876322976
2026-03-04,1.27,1.27,1.207,1.255,997698115
2026-03-03,1.247,1.31,1.223,1.283,1485262428
2026-03-02,1.233,1.247,1.209,1.243,1401549269
2026-02-27,1.166,1.207,1.164,1.202,569530376
2026-02-26,1.176,1.193,1.163,1.169,471795800
2026-02-25,1.175,1.2,1.172,1.177,585971417
2026-02-24,1.148,1.187,1.148,1.18,541764110
2026-02-13,1.156,1.168,1.143,1.144,509694163
2026-02-12,1.158,1.177,1.151,1.164,506972599
2026-02-11,1.14,1.165,1.128,1.16,691204849
2026-02-10,1.131,1.15,1.118,1.144,480993622
2026-02-09,1.122,1.14,1.122,1.134,537946843
2026-02-06,1.115,1.137,1.108,1.128,638434747
2026-02-05,1.139,1.145,1.122,1.133,991279009
2026-02-04,1.073,1.175,1.072,1.166,2143754676
2026-02-03,1.066,1.077,1.054,1.069,527669800
2026-02-02,1.101,1.113,1.06,1.063,880150141
2026-01-30,1.135,1.168,1.116,1.13,1036846651
2026-01-29,1.122,1.14,1.111,1.129,973330273
2026-01-28,1.075,1.129,1.071,1.124,1063310140
2026-01-27,1.101,1.103,1.072,1.073,587182277
2026-01-26,1.077,1.103,1.075,1.101,666609092
2026-01-23,1.087,1.087,1.076,1.079,490381543
2026-01-22,1.067,1.09,1.063,1.089,519928027
2026-01-21,1.08,1.08,1.061,1.07,419671200
2026-01-20,1.068,1.084,1.06,1.083,390580463
2026-01-19,1.054,1.069,1.054,1.069,389298364
2026-01-16,1.067,1.074,1.05,1.054,416341210
2026-01-15,1.072,1.077,1.064,1.067,366512327
2026-01-14,1.08,1.085,1.065,1.072,602064663
2026-01-13,1.092,1.094,1.079,1.081,517285140
2026-01-12,1.096,1.104,1.086,1.094,511799089
2026-01-09,1.08,1.098,1.08,1.096,644728382
2026-01-08,1.1,1.104,1.082,1.092,947635444
2026-01-07,1.059,1.094,1.053,1.093,1268826008
2026-01-06,1.033,1.053,1.031,1.053,704991752
2026-01-05,1.028,1.037,1.028,1.034,292423989
2025-12-31,1.033,1.036,1.024,1.028,229556310
2025-12-30,1.04,1.041,1.03,1.035,233052783
2025-12-29,1.039,1.052,1.038,1.043,406299017
2025-12-26,1.033,1.042,1.032,1.039,365787560
2025-12-25,1.037,1.038,1.032,1.036,388106257
2025-12-24,1.045,1.045,1.028,1.038,361195100
2025-12-23,1.089,1.092,1.079,1.083,359985800
2025-12-22,1.09,1.093,1.081,1.089,347428201
2025-12-19,1.085,1.092,1.081,1.091,424810794
2025-12-18,1.08,1.096,1.079,1.095,426683700
2025-12-17,1.073,1.076,1.064,1.075,316036905
2025-12-16,1.09,1.091,1.072,1.075,293713595
2025-12-15,1.087,1.1,1.085,1.093,368491881
2025-12-12,1.089,1.099,1.083,1.085,370044626
2025-12-11,1.098,1.105,1.087,1.089,275325600
2025-12-10,1.097,1.102,1.094,1.1,249258322
2025-12-09,1.109,1.11,1.095,1.097,394667228
2025-12-08,1.123,1.124,1.104,1.113,641391158
2025-12-05,1.131,1.133,1.122,1.13,311697229
2025-12-04,1.145,1.145,1.13,1.135,340166200
2025-12-03,1.133,1.155,1.132,1.145,467065743
2025-12-02,1.14,1.142,1.125,1.138,442480240
2025-12-01,1.128,1.139,1.128,1.139,351729517
2025-11-28,1.124,1.132,1.12,1.128,290960008
2025-11-27,1.122,1.131,1.115,1.129,400969794
2025-11-26,1.123,1.131,1.12,1.122,335286147
2025-11-25,1.121,1.131,1.118,1.13,430835322
2025-11-24,1.132,1.14,1.113,1.122,558064195
2025-11-21,1.16,1.163,1.131,1.132,760642662
2025-11-20,1.184,1.193,1.163,1.166,678285665
2025-11-19,1.185,1.198,1.18,1.192,416068336
2025-11-18,1.228,1.229,1.189,1.193,757636198
2025-11-17,1.215,1.242,1.206,1.236,907401249
2025-11-14,1.224,1.239,1.211,1.215,613266433
2025-11-13,1.213,1.232,1.206,1.229,692603280
2025-11-12,1.223,1.231,1.214,1.217,670128819
2025-11-11,1.241,1.244,1.211,1.232,992921255
2025-11-10,1.243,1.26,1.231,1.248,644758287
2025-11-07,1.238,1.255,1.23,1.24,530027290
2025-11-06,1.229,1.251,1.22,1.24,772104224
2025-11-05,1.203,1.245,1.201,1.231,935162738
2025-11-04,1.207,1.226,1.203,1.21,720609795
2025-11-03,1.184,1.221,1.183,1.212,1219349315
2025-10-31,1.186,1.193,1.178,1.182,718789215
2025-10-30,1.192,1.209,1.19,1.194,958841269
2025-10-29,1.18,1.207,1.171,1.2,1069900124
2025-10-28,1.188,1.194,1.175,1.184,936264597
2025-10-27,1.177,1.212,1.157,1.197,1519537871
2025-10-24,1.194,1.198,1.179,1.188,1217934436
2025-10-23,1.18,1.219,1.18,1.21,1349369062
2025-10-22,1.19,1.201,1.178,1.181,1043767668
2025-10-21,1.206,1.206,1.181,1.203,1755128561
2025-10-20,1.173,1.22,1.172,1.218,1481632717
2025-10-17,1.177,1.197,1.167,1.169,1212250317
2025-10-16,1.145,1.181,1.143,1.179,1338638508
2025-10-15,1.149,1.154,1.133,1.145,940141328
2025-10-14,1.118,1.15,1.114,1.146,1187190673
2025-10-13,1.094,1.118,1.094,1.117,704233280
2025-10-10,1.094,1.13,1.089,1.12,1167496804
2025-10-09,1.069,1.1,1.066,1.099,702141128
2025-09-30,1.066,1.073,1.061,1.069,374422969
2025-09-29,1.074,1.075,1.058,1.071,633062758
2025-09-26,1.087,1.094,1.081,1.082,495789545
2025-09-25,1.092,1.093,1.082,1.087,943496300
2025-09-24,1.089,1.099,1.081,1.095,670818951
2025-09-23,1.087,1.102,1.08,1.095,768154961
2025-09-22,1.099,1.109,1.086,1.09,838643592
2025-09-19,1.073,1.101,1.072,1.1,884926501
2025-09-18,1.092,1.095,1.063,1.073,868637522
2025-09-17,1.071,1.103,1.069,1.1,983812284
2025-09-16,1.083,1.089,1.071,1.077,1143278586
2025-09-15,1.058,1.074,1.053,1.073,696516480
2025-09-12,1.056,1.065,1.049,1.06,579253725
2025-09-11,1.053,1.056,1.045,1.056,596964530
2025-09-10,1.057,1.06,1.05,1.052,418804566
2025-09-09,1.064,1.067,1.055,1.061,419925948
2025-09-08,1.056,1.063,1.049,1.063,356515502
2025-09-05,1.044,1.058,1.038,1.056,543537067
2025-09-04,1.034,1.044,1.03,1.043,366604400
2025-09-03,1.058,1.061,1.035,1.038,533606179
2025-09-02,1.062,1.063,1.052,1.056,517541349
2025-09-01,1.059,1.069,1.052,1.063,432779442
2025-08-29,1.061,1.073,1.056,1.061,485745197
2025-08-28,1.064,1.068,1.047,1.062,774167410
2025-08-27,1.097,1.098,1.068,1.069,912773229
2025-08-26,1.11,1.11,1.098,1.1,657386123
2025-08-25,1.101,1.112,1.096,1.109,842778921
2025-08-22,1.094,1.095,1.082,1.094,990065120
2025-08-21,1.088,1.098,1.083,1.095,495108921
2025-08-20,1.079,1.086,1.074,1.086,320702400
2025-08-19,1.085,1.086,1.079,1.082,465635400
2025-08-18,1.1,1.107,1.083,1.087,839067373
2025-08-15,1.079,1.094,1.078,1.093,545238681
2025-08-14,1.097,1.098,1.08,1.083,710620690
2025-08-13,1.11,1.11,1.099,1.1,608418271
2025-08-12,1.102,1.118,1.099,1.112,568042135
2025-08-11,1.099,1.105,1.094,1.098,437029600
2025-08-08,1.097,1.106,1.093,1.098,460779847
2025-08-07,1.097,1.109,1.086,1.102,575462343
2025-08-06,1.078,1.104,1.076,1.101,682569120
2025-08-05,1.066,1.08,1.063,1.078,496997754
2025-08-04,1.052,1.065,1.049,1.065,319695846
2025-08-01,1.059,1.065,1.055,1.058,436755951
2025-07-31,1.075,1.082,1.05,1.057,796790383
2025-07-30,1.098,1.109,1.087,1.09,498497600
2025-07-29,1.079,1.093,1.07,1.093,397917502
2025-07-28,1.09,1.1,1.075,1.083,746679882
2025-07-25,1.128,1.148,1.112,1.115,566981091
2025-07-24,1.106,1.134,1.092,1.13,697827826
2025-07-23,1.16,1.16,1.106,1.112,1220295687
2025-07-22,1.048,1.131,1.037,1.129,1472489361
2025-07-21,1.02,1.043,1.019,1.043,551917952
2025-07-18,1.008,1.022,1.008,1.016,460903077
2025-07-17,1.003,1.005,0.999,1.005,256105752
2025-07-16,1.007,1.007,0.999,1.003,254182970
2025-07-15,1.029,1.029,1.004,1.007,499149200
2025-07-14,1.027,1.04,1.024,1.031,483050419
2025-07-11,1.036,1.037,1.026,1.029,816914396
2025-07-10,1.014,1.035,1.013,1.033,961711502
2025-07-09,1.007,1.017,1.007,1.015,233712807
2025-07-08,1.003,1.008,0.998,1.007,168065300
2025-07-07,1.004,1.006,0.996,1.003,181334729
2025-07-04,1.003,1.015,1.002,1.003,353772298
2025-07-03,1.009,1.018,0.998,1.003,385626666
2025-07-02,0.989,1.009,0.987,1.009,263493126
2025-07-01,0.988,0.991,0.984,0.991,124018507
2025-06-30,0.992,0.993,0.987,0.991,166702126
2025-06-27,0.985,0.993,0.981,0.99,207155100
2025-06-26,0.985,0.991,0.979,0.98,145067122
2025-06-25,0.985,0.986,0.977,0.985,196322810
2025-06-24,0.984,0.987,0.976,0.985,167245643
2025-06-23,0.974,0.991,0.97,0.99,208609062
2025-06-20,0.972,0.983,0.972,0.973,122615000
2025-06-19,0.985,0.985,0.969,0.972,195747100
2025-06-18,0.992,0.994,0.982,0.986,173998200
2025-06-17,0.986,0.995,0.979,0.994,172771900
2025-06-16,0.988,0.991,0.984,0.986,206251238
2025-06-13,0.989,0.99,0.983,0.985,114755575
2025-06-12,0.993,0.994,0.985,0.987,108713609
2025-06-11,0.986,0.999,0.985,0.995,162057279
2025-06-10,0.99,0.994,0.98,0.986,157898500
2025-06-09,0.983,0.992,0.982,0.991,128744600
