date,open,high,low,close,volume
2026-03-20,13.88,14.35,13.88,14.0,27560767.0
2026-03-19,13.85,14.07,13.76,13.89,17326137.0
2026-03-18,13.8,14.13,13.67,13.98,20391760.0
2026-03-17,14.0,14.26,13.75,13.75,26380260.0
2026-03-16,14.13,14.38,14.03,14.3,26985617.0
2026-03-13,13.99,14.55,13.93,14.13,33220810.0
2026-03-12,14.05,14.16,13.77,14.02,19492000.0
2026-03-11,13.98,14.25,13.86,14.15,24378211.0
2026-03-10,13.47,14.28,13.43,13.98,36886242.0
2026-03-09,13.5,13.6,13.06,13.31,29691601.0
2026-03-06,13.08,13.79,13.02,13.72,31016401.0
2026-03-05,13.46,13.65,13.11,13.17,19353068.0
2026-03-04,13.26,13.39,13.01,13.16,27220129.0
2026-03-03,13.67,14.15,13.35,13.43,35571568.0
2026-03-02,13.46,13.6,13.09,13.57,45595631.0
2026-02-27,13.11,14.19,13.05,13.8,64957156.0
2026-02-26,12.71,13.29,12.5,13.11,47551695.0
2026-02-25,12.94,13.08,12.63,12.71,20804267.0
2026-02-24,12.89,13.06,12.85,12.94,11142998.0
2026-02-13,12.98,12.99,12.72,12.76,11512547.0
2026-02-12,13.04,13.15,12.96,12.98,7225744.0
2026-02-11,12.99,13.17,12.91,13.03,11080817.0
2026-02-10,13.03,13.06,12.86,12.93,9924528.0
2026-02-09,13.08,13.18,12.92,13.03,12559988.0
2026-02-06,12.95,13.1,12.84,13.0,10578663.0
2026-02-05,12.97,13.29,12.95,13.04,13943236.0
2026-02-04,12.75,13.03,12.64,13.0,13421735.0
2026-02-03,12.7,12.82,12.62,12.78,15390371.0
2026-02-02,12.84,12.95,12.57,12.58,16079659.0
2026-01-30,13.0,13.29,12.78,12.86,16017717.0
2026-01-29,12.87,13.15,12.84,13.04,14191606.0
2026-01-28,12.95,13.06,12.78,12.89,16572281.0
2026-01-27,13.34,13.38,12.9,13.02,21981580.0
2026-01-26,13.68,13.73,13.21,13.35,22776200.0
2026-01-23,13.72,13.83,13.56,13.68,18661547.0
2026-01-22,13.8,13.82,13.44,13.72,19059800.0
2026-01-21,13.73,13.93,13.65,13.78,14969315.0
2026-01-20,13.8,14.12,13.73,13.82,27876221.0
2026-01-19,13.4,13.8,13.35,13.68,18080525.0
2026-01-16,13.75,13.85,13.4,13.45,20161405.0
2026-01-15,13.6,14.15,13.57,13.73,30757046.0
2026-01-14,13.5,13.74,13.4,13.66,30445405.0
2026-01-13,13.68,13.84,13.36,13.42,22041564.0
2026-01-12,13.51,13.68,13.34,13.68,20340106.0
2026-01-09,13.4,13.55,13.39,13.51,17672941.0
2026-01-08,13.37,13.65,13.26,13.42,19322258.0
2026-01-07,13.57,13.72,13.31,13.41,18908008.0
2026-01-06,13.52,13.8,13.45,13.6,17655515.0
2026-01-05,13.43,13.54,13.24,13.53,18753270.0
2025-12-31,13.56,13.56,13.39,13.42,9222905.0
2025-12-30,13.41,13.62,13.4,13.52,12626075.0
2025-12-29,13.98,13.98,13.4,13.46,31893124.0
2025-12-26,14.26,14.26,13.94,14.0,14822905.0
2025-12-25,14.28,14.35,14.18,14.25,8641995.0
2025-12-24,14.32,14.37,14.18,14.25,8311910.0
2025-12-23,14.41,14.45,14.27,14.33,10876690.0
2025-12-22,14.78,14.79,14.18,14.4,15783021.0
2025-12-19,14.54,14.69,14.26,14.58,12610331.0
2025-12-18,14.3,14.88,14.27,14.56,13964648.0
2025-12-17,14.07,14.45,13.97,14.37,11549356.0
2025-12-16,14.15,14.22,13.9,14.06,9636526.0
2025-12-15,14.41,14.45,14.1,14.15,9885337.0
2025-12-12,14.08,14.45,13.97,14.4,15689857.0
2025-12-11,14.17,14.23,14.01,14.02,8912000.0
2025-12-10,13.86,14.25,13.77,14.14,13902401.0
2025-12-09,14.16,14.35,13.81,13.88,21924147.0
2025-12-08,14.24,14.29,13.96,14.23,13554469.0
2025-12-05,14.12,14.23,14.07,14.22,6278300.0
2025-12-04,14.2,14.26,14.01,14.14,6825369.0
2025-12-03,14.08,14.34,13.9,14.21,14485085.0
2025-12-02,14.3,14.31,14.02,14.08,11819641.0
2025-12-01,14.46,14.46,14.22,14.32,9483701.0
2025-11-28,14.3,14.5,14.2,14.37,9776200.0
2025-11-27,14.28,14.42,14.27,14.33,7875791.0
2025-11-26,14.31,14.42,14.28,14.35,7431900.0
2025-11-25,14.16,14.44,14.09,14.31,12285489.0
2025-11-24,14.0,14.2,13.92,14.13,11963897.0
2025-11-21,14.37,14.44,13.65,14.05,15735585.0
2025-11-20,14.34,14.6,14.22,14.48,20246346.0
2025-11-19,14.2,14.48,14.13,14.29,16585953.0
2025-11-18,14.41,14.69,14.1,14.28,44317486.0
2025-11-17,15.6,15.62,15.13,15.17,17516921.0
2025-11-14,15.62,15.94,15.57,15.6,17471886.0
2025-11-13,15.63,15.8,15.43,15.75,15513833.0
2025-11-12,15.4,15.94,15.28,15.67,22324303.0
2025-11-11,15.52,15.8,15.33,15.47,14122900.0
2025-11-10,15.14,15.61,15.1,15.54,24781511.0
2025-11-07,15.44,15.56,15.11,15.15,24264050.0
2025-11-06,15.33,15.55,15.25,15.47,17118218.0
2025-11-05,15.26,15.39,15.13,15.33,16036961.0
2025-11-04,15.56,15.95,15.3,15.48,17398201.0
2025-11-03,15.51,15.6,14.95,15.6,26752534.0
2025-10-31,15.4,15.78,15.3,15.51,20049316.0
2025-10-30,16.16,16.16,15.4,15.46,26028363.0
2025-10-29,15.28,15.82,15.25,15.58,30239337.0
2025-10-28,15.55,15.55,15.15,15.25,41197729.0
2025-10-27,15.78,16.09,15.73,15.97,25614295.0
2025-10-24,15.58,15.89,15.37,15.57,18360924.0
2025-10-23,15.41,15.62,15.2,15.5,16865669.0
2025-10-22,15.58,15.66,15.43,15.47,18097100.0
2025-10-21,15.88,15.88,15.4,15.63,29400260.0
2025-10-20,16.51,16.93,15.66,15.97,33803736.0
2025-10-17,16.23,16.47,15.93,15.95,25558298.0
2025-10-16,17.85,18.05,16.07,16.6,56248449.0
2025-10-15,17.73,18.15,17.26,17.85,23408341.0
2025-10-14,17.48,17.85,17.4,17.67,24442224.0
2025-10-13,17.03,17.53,17.03,17.41,17090024.0
2025-10-10,17.45,17.87,17.4,17.59,15828231.0
2025-10-09,17.85,17.85,17.0,17.52,27029860.0
2025-09-30,17.8,18.1,17.65,17.9,21133979.0
2025-09-29,17.85,18.07,17.62,17.91,18613530.0
2025-09-26,18.25,18.45,17.8,18.0,18758548.0
2025-09-25,18.6,18.77,18.16,18.23,20186894.0
2025-09-24,18.51,19.23,18.42,18.78,24351273.0
2025-09-23,18.71,19.11,18.23,18.79,33235100.0
2025-09-22,19.01,20.07,18.71,19.05,55476601.0
2025-09-19,18.56,18.76,18.56,18.76,40569393.0
2025-09-18,17.5,17.7,16.93,17.05,23442983.0
2025-09-17,17.75,17.77,17.45,17.49,15143462.0
2025-09-16,18.34,18.5,17.65,17.73,26349091.0
2025-09-15,17.52,18.77,17.2,18.25,40367752.0
2025-09-12,17.5,17.68,16.95,17.52,31388002.0
2025-09-11,17.4,17.55,17.05,17.42,28670206.0
2025-09-10,16.9,18.0,16.78,17.4,47827832.0
2025-09-09,16.65,16.99,16.35,16.48,24974202.0
2025-09-08,16.08,17.47,16.05,16.69,61020920.0
2025-09-05,16.5,16.68,15.82,15.95,51026451.0
2025-09-04,16.51,16.95,16.25,16.54,26404369.0
2025-09-03,16.68,16.81,16.38,16.5,35201246.0
2025-09-02,17.43,17.43,16.33,16.48,44229271.0
2025-09-01,17.41,17.93,17.31,17.52,32629311.0
2025-08-29,18.18,18.18,17.3,17.41,35081134.0
2025-08-28,18.0,18.53,17.37,18.4,38258026.0
2025-08-27,17.9,18.55,17.7,18.24,38777489.0
2025-08-26,18.38,18.95,17.92,17.98,51444417.0
2025-08-25,19.2,19.2,18.14,18.36,61751263.0
2025-08-22,19.33,19.73,18.93,19.28,38531946.0
2025-08-21,18.98,19.55,18.5,19.48,51209501.0
2025-08-20,17.21,19.01,17.05,19.01,57782911.0
2025-08-19,17.21,17.72,17.02,17.28,36291636.0
2025-08-18,16.44,17.5,16.4,17.28,55862116.0
2025-08-15,15.68,16.5,15.63,16.39,42413618.0
2025-08-14,15.91,16.0,15.62,15.69,27406905.0
2025-08-13,15.92,16.19,15.79,15.91,42630115.0
2025-08-12,17.03,17.2,15.95,16.07,59074682.0
2025-08-11,17.35,17.49,16.85,16.95,37613918.0
2025-08-08,17.26,18.1,16.9,17.35,50609346.0
2025-08-07,16.12,17.71,16.0,17.36,80393595.0
2025-08-06,16.06,16.7,15.68,16.1,60960438.0
2025-08-05,16.2,16.65,15.85,16.28,62395289.0
2025-08-04,16.98,17.06,16.05,16.56,95216922.0
2025-08-01,16.37,16.78,15.9,16.2,101980300.0
2025-07-31,15.88,15.95,15.12,15.25,75354475.0
2025-07-30,15.91,16.1,15.46,15.88,114492766.0
