date,open,high,low,close,volume
2026-03-19,1.237,1.24,1.221,1.227,2253239353
2026-03-18,1.243,1.251,1.233,1.25,2173948004
2026-03-17,1.259,1.269,1.242,1.243,2278192024
2026-03-16,1.255,1.26,1.241,1.257,2345838361
2026-03-13,1.262,1.274,1.256,1.261,2113391222
2026-03-12,1.272,1.275,1.258,1.268,2363719637
2026-03-11,1.272,1.278,1.269,1.275,2067135478
2026-03-10,1.257,1.27,1.256,1.269,2100053725
2026-03-09,1.256,1.256,1.225,1.25,2288593002
2026-03-06,1.252,1.266,1.25,1.262,1903882715
2026-03-05,1.257,1.267,1.253,1.26,2326588066
2026-03-04,1.253,1.26,1.24,1.248,2087983630
2026-03-03,1.289,1.293,1.257,1.262,2241762592
2026-03-02,1.276,1.292,1.272,1.288,2181239857
2026-02-27,1.28,1.288,1.276,1.287,2274481103
2026-02-26,1.289,1.291,1.278,1.285,2661895512
2026-02-25,1.272,1.292,1.272,1.286,2520536025
2026-02-24,1.27,1.28,1.269,1.272,2484591537
2026-02-13,1.272,1.272,1.257,1.259,3171355024
2026-02-12,1.269,1.278,1.269,1.276,3055363146
2026-02-11,1.269,1.274,1.268,1.271,2947001726
2026-02-10,1.271,1.275,1.268,1.272,2998810134
2026-02-09,1.263,1.272,1.26,1.27,2919692664
2026-02-06,1.244,1.259,1.233,1.249,3279115064
2026-02-05,1.257,1.261,1.243,1.254,3353037011
2026-02-04,1.256,1.269,1.252,1.267,3390300780
2026-02-03,1.246,1.262,1.233,1.259,3696209201
2026-02-02,1.261,1.269,1.229,1.235,3472284278
2026-01-30,1.28,1.284,1.248,1.271,3364003140
2026-01-29,1.281,1.292,1.277,1.287,3633365150
2026-01-28,1.278,1.286,1.275,1.283,3720933869
2026-01-27,1.275,1.284,1.262,1.277,3452561496
2026-01-26,1.278,1.29,1.273,1.275,3506120299
2026-01-23,1.274,1.282,1.272,1.278,3736889464
2026-01-22,1.272,1.28,1.265,1.272,3391631803
2026-01-21,1.26,1.278,1.259,1.271,3942280939
2026-01-20,1.271,1.276,1.254,1.262,4305815154
2026-01-19,1.266,1.279,1.262,1.271,4079606818
2026-01-16,1.276,1.284,1.264,1.266,4474633850
2026-01-15,1.266,1.276,1.262,1.271,4716967501
2026-01-14,1.271,1.292,1.26,1.271,5198848715
2026-01-13,1.281,1.292,1.267,1.272,4848507428
2026-01-12,1.269,1.284,1.264,1.28,4629321018
2026-01-09,1.254,1.27,1.252,1.266,4987097746
2026-01-08,1.257,1.261,1.248,1.255,5280774316
2026-01-07,1.266,1.267,1.253,1.261,5551095278
2026-01-06,1.24,1.262,1.24,1.262,5486483317
2026-01-05,1.217,1.243,1.217,1.239,5522790275
2025-12-31,1.218,1.224,1.211,1.216,5667124088
2025-12-30,1.21,1.223,1.208,1.216,5729115819
2025-12-29,1.223,1.224,1.211,1.214,5906467412
2025-12-26,1.215,1.225,1.212,1.223,5984363982
2025-12-25,1.21,1.217,1.206,1.213,5787914380
2025-12-24,1.204,1.212,1.2,1.21,7281986553
2025-12-23,1.202,1.211,1.199,1.204,7950196139
2025-12-22,1.191,1.204,1.191,1.201,6273342688
2025-12-19,1.183,1.194,1.181,1.189,5373327335
2025-12-18,1.187,1.188,1.18,1.182,4568787626
2025-12-17,1.163,1.192,1.163,1.188,5112761577
2025-12-16,1.179,1.18,1.16,1.166,4849283624
2025-12-15,1.182,1.192,1.179,1.18,4682716194
2025-12-12,1.18,1.191,1.175,1.188,4242464152
2025-12-11,1.192,1.194,1.179,1.18,4211272125
2025-12-10,1.187,1.192,1.175,1.19,4106816541
2025-12-09,1.193,1.197,1.185,1.188,4136264039
2025-12-08,1.186,1.201,1.186,1.195,4015416014
2025-12-05,1.173,1.188,1.169,1.186,3896820301
2025-12-04,1.17,1.177,1.164,1.174,3841079497
2025-12-03,1.175,1.181,1.167,1.171,3613211983
2025-12-02,1.181,1.182,1.172,1.176,3721525616
2025-12-01,1.17,1.183,1.17,1.183,3313539206
2025-11-28,1.163,1.17,1.159,1.169,3856129857
2025-11-27,1.166,1.178,1.161,1.163,3518751816
2025-11-26,1.16,1.171,1.157,1.166,3381560908
2025-11-25,1.15,1.166,1.15,1.159,3718105878
2025-11-24,1.148,1.151,1.138,1.147,3607398253
2025-11-21,1.168,1.17,1.144,1.146,4219183569
2025-11-20,1.192,1.193,1.175,1.178,3661541236
2025-11-19,1.181,1.19,1.179,1.184,3576190799
2025-11-18,1.19,1.191,1.176,1.183,3529818490
2025-11-17,1.194,1.197,1.185,1.191,3164388260
2025-11-14,1.209,1.21,1.195,1.196,3450874964
2025-11-13,1.197,1.216,1.197,1.216,3588062608
2025-11-12,1.202,1.205,1.19,1.2,3802298184
2025-11-11,1.214,1.217,1.199,1.201,3509317945
2025-11-10,1.21,1.215,1.201,1.212,3463168402
2025-11-07,1.205,1.214,1.201,1.209,3387682602
2025-11-06,1.191,1.213,1.191,1.21,3545154375
2025-11-05,1.178,1.197,1.173,1.191,3499813161
2025-11-04,1.201,1.203,1.182,1.19,3277630644
2025-11-03,1.2,1.203,1.185,1.203,3345787211
2025-10-31,1.215,1.216,1.2,1.202,3063850087
2025-10-30,1.223,1.227,1.212,1.216,2948342819
2025-10-29,1.209,1.226,1.209,1.225,2946424084
2025-10-28,1.214,1.221,1.205,1.21,3014207430
2025-10-27,1.209,1.218,1.207,1.215,3273165576
2025-10-24,1.187,1.2,1.185,1.2,3112509833
2025-10-23,1.175,1.185,1.163,1.182,3099350879
2025-10-22,1.172,1.182,1.172,1.179,2842110902
2025-10-21,1.166,1.185,1.166,1.184,3129436892
2025-10-20,1.165,1.174,1.159,1.165,2756335485
2025-10-17,1.181,1.188,1.156,1.158,3074525348
2025-10-16,1.186,1.197,1.181,1.186,3042589051
2025-10-15,1.172,1.189,1.166,1.188,2801448647
2025-10-14,1.195,1.203,1.166,1.171,2874073980
2025-10-13,1.17,1.193,1.16,1.189,3006074137
2025-10-10,1.22,1.22,1.192,1.199,3124542733
2025-10-09,1.207,1.23,1.207,1.224,2879855389
2025-09-30,1.203,1.208,1.197,1.208,3261095650
2025-09-29,1.184,1.203,1.177,1.199,2986984334
2025-09-26,1.188,1.194,1.18,1.181,3171590558
2025-09-25,1.186,1.2,1.182,1.193,2666230752
2025-09-24,1.169,1.186,1.161,1.186,2897717495
2025-09-23,1.171,1.178,1.15,1.17,2580784411
2025-09-22,1.167,1.171,1.16,1.17,2638537314
2025-09-19,1.166,1.175,1.162,1.167,2664136323
2025-09-18,1.18,1.187,1.152,1.168,2646697708
2025-09-17,1.171,1.179,1.164,1.178,2586686074
2025-09-16,1.168,1.174,1.158,1.167,2593911737
2025-09-15,1.165,1.176,1.165,1.168,2679157544
2025-09-12,1.171,1.174,1.164,1.167,2538143207
2025-09-11,1.137,1.172,1.135,1.171,2552587034
2025-09-10,1.138,1.147,1.131,1.141,2663837575
2025-09-09,1.147,1.15,1.133,1.14,2372984146
2025-09-08,1.143,1.15,1.137,1.147,2402095694
2025-09-05,1.11,1.146,1.109,1.144,2439498560
2025-09-04,1.135,1.143,1.098,1.11,2902414131
2025-09-03,1.153,1.155,1.132,1.14,2093472734
2025-09-02,1.16,1.166,1.14,1.151,1520734139
2025-09-01,1.154,1.163,1.149,1.161,1855758032
2025-08-29,1.141,1.158,1.133,1.153,2001919103
2025-08-28,1.122,1.142,1.113,1.14,2006874839
2025-08-27,1.137,1.15,1.119,1.121,2114721976
2025-08-26,1.138,1.143,1.13,1.137,1964862491
2025-08-25,1.12,1.14,1.12,1.14,1973564645
2025-08-22,1.09,1.117,1.09,1.115,2105382953
2025-08-21,1.09,1.096,1.086,1.09,2004900547
2025-08-20,1.074,1.089,1.065,1.089,1891151577
2025-08-19,1.081,1.085,1.072,1.075,2171043907
2025-08-18,1.07,1.088,1.068,1.081,2049562089
2025-08-15,1.056,1.071,1.054,1.07,2194276892
2025-08-14,1.06,1.07,1.055,1.057,2057674082
2025-08-13,1.05,1.062,1.05,1.06,2157876427
2025-08-12,1.047,1.053,1.044,1.05,2024118291
2025-08-11,1.04,1.05,1.04,1.047,2040919429
2025-08-08,1.042,1.044,1.037,1.039,1898026649
2025-08-07,1.042,1.046,1.035,1.042,1912429136
2025-08-06,1.037,1.043,1.035,1.043,2054900617
2025-08-05,1.031,1.038,1.031,1.037,1811816994
2025-08-04,1.022,1.031,1.021,1.031,1664805915
2025-08-01,1.03,1.033,1.021,1.026,2045366875
2025-07-31,1.048,1.048,1.027,1.031,1718143796
2025-07-30,1.051,1.059,1.042,1.049,1673861354
2025-07-29,1.047,1.052,1.04,1.051,1592791794
2025-07-28,1.043,1.047,1.037,1.047,1738578049
2025-07-25,1.046,1.047,1.039,1.043,1971491158
2025-07-24,1.036,1.046,1.036,1.046,1697957312
2025-07-23,1.038,1.046,1.036,1.036,1768572636
2025-07-22,1.028,1.039,1.025,1.038,1398091459
2025-07-21,1.025,1.028,1.021,1.027,797220446
2025-07-18,1.017,1.022,1.015,1.021,836731844
2025-07-17,1.005,1.015,1.002,1.014,862407758
2025-07-16,1.005,1.01,1.002,1.004,829878525
2025-07-15,1.005,1.012,0.999,1.005,1125902669
2025-07-14,1.005,1.01,1.004,1.006,1253373551
2025-07-11,1.002,1.016,1.0,1.005,1365046903
2025-07-10,0.996,1.007,0.996,1.002,1093027411
2025-07-09,0.999,1.003,0.995,0.997,1152604842
2025-07-08,0.988,1.0,0.987,0.999,996874365
2025-07-07,0.992,0.992,0.986,0.988,950584872
2025-07-04,0.991,1.002,0.987,0.991,1226735294
2025-07-03,0.984,0.992,0.984,0.991,761005265
2025-07-02,0.985,0.987,0.982,0.984,772712196
2025-07-01,0.984,0.987,0.981,0.985,760342149
2025-06-30,0.979,0.987,0.978,0.987,1235875924
2025-06-27,0.982,0.988,0.976,0.979,1179621170
2025-06-26,0.982,0.986,0.981,0.981,1047233216
2025-06-25,0.97,0.985,0.969,0.983,1077490506
2025-06-24,0.956,0.972,0.956,0.969,1182499760
2025-06-23,0.949,0.959,0.948,0.957,840526775
2025-06-20,0.953,0.958,0.952,0.952,852040364
2025-06-19,0.959,0.962,0.951,0.954,906093248
2025-06-18,0.963,0.964,0.957,0.962,1133028518
2025-06-17,0.964,0.965,0.958,0.963,761915274
2025-06-16,0.959,0.964,0.957,0.964,830775764
2025-06-13,0.963,0.966,0.957,0.96,971463531
2025-06-12,0.966,0.969,0.961,0.966,875546815
2025-06-11,0.959,0.971,0.959,0.966,1034185556
2025-06-10,0.968,0.968,0.954,0.958,997963987
2025-06-09,0.961,0.969,0.961,0.965,844780114
2025-06-06,0.961,0.965,0.96,0.961,869967141
2025-06-05,0.958,0.964,0.956,0.96,961642820
2025-06-04,0.956,0.961,0.953,0.957,870538691
2025-06-03,0.953,0.957,0.95,0.954,817524357
2025-05-30,0.956,0.957,0.949,0.954,921356062
2025-05-29,0.951,0.96,0.949,0.958,821853661
2025-05-28,0.955,0.955,0.95,0.95,922614879
2025-05-27,0.956,0.958,0.95,0.952,993799845
2025-05-26,0.961,0.963,0.954,0.956,968285814
2025-05-23,0.969,0.974,0.96,0.962,1057502095
2025-05-22,0.97,0.972,0.967,0.97,919714972
2025-05-21,0.968,0.974,0.967,0.97,886154957
2025-05-20,0.962,0.969,0.96,0.968,940356936
2025-05-19,0.962,0.962,0.956,0.962,979859848
2025-05-16,0.966,0.967,0.959,0.962,930753258
2025-05-15,0.975,0.975,0.965,0.967,919418067
2025-05-14,0.966,0.981,0.965,0.975,1082769086
2025-05-13,0.97,0.972,0.965,0.966,940555160
2025-05-12,0.957,0.967,0.957,0.965,938552654
2025-05-09,0.958,0.958,0.952,0.955,788334336
2025-05-08,0.951,0.961,0.949,0.958,862676845
2025-05-07,0.955,0.962,0.948,0.952,853545145
2025-05-06,0.939,0.948,0.938,0.948,854564464
2025-04-30,0.934,0.939,0.933,0.935,824639664
2025-04-29,0.934,0.937,0.931,0.934,859377659
2025-04-28,0.935,0.937,0.932,0.934,963966366
2025-04-25,0.936,0.941,0.93,0.936,940608480
2025-04-24,0.938,0.942,0.932,0.936,903520093
2025-04-23,0.937,0.942,0.935,0.937,1073678373
2025-04-22,0.935,0.939,0.934,0.935,851721321
2025-04-21,0.93,0.937,0.927,0.936,826107315
2025-04-18,0.926,0.934,0.924,0.932,1048712112
2025-04-17,0.923,0.932,0.923,0.928,953451526
