date,open,high,low,close,volume
2026-03-20,1.509,1.538,1.479,1.483,1242670625
2026-03-19,1.521,1.537,1.499,1.502,981798198
2026-03-18,1.523,1.554,1.516,1.549,1337559893
2026-03-17,1.517,1.565,1.509,1.524,1536990145
2026-03-16,1.474,1.517,1.456,1.515,1296172807
2026-03-13,1.483,1.498,1.46,1.475,908574335
2026-03-12,1.518,1.536,1.48,1.493,1193839912
2026-03-11,1.549,1.555,1.51,1.518,1279562630
2026-03-10,1.515,1.553,1.514,1.549,1739564789
2026-03-09,1.495,1.504,1.454,1.485,1843712222
2026-03-06,1.442,1.524,1.442,1.521,1759314674
2026-03-05,1.439,1.476,1.425,1.452,1653798607
2026-03-04,1.432,1.453,1.395,1.407,1229860199
2026-03-03,1.496,1.503,1.436,1.438,1088304163
2026-03-02,1.525,1.532,1.484,1.494,1429509053
2026-02-27,1.545,1.568,1.538,1.549,857916678
2026-02-26,1.603,1.605,1.556,1.564,718297960
2026-02-25,1.605,1.62,1.597,1.604,543911993
2026-02-24,1.648,1.652,1.591,1.602,616196666
2026-02-13,1.611,1.628,1.607,1.611,614056164
2026-02-12,1.657,1.666,1.619,1.622,691146241
2026-02-11,1.677,1.686,1.659,1.661,700800455
2026-02-10,1.621,1.688,1.615,1.672,1581540436
2026-02-09,1.614,1.637,1.613,1.619,866017380
2026-02-06,1.565,1.606,1.553,1.595,1052269522
2026-02-05,1.568,1.601,1.562,1.579,827685339
2026-02-04,1.57,1.6,1.546,1.597,1059325876
2026-02-03,1.563,1.583,1.529,1.58,971415443
2026-02-02,1.6,1.603,1.543,1.547,601962207
2026-01-30,1.641,1.669,1.601,1.602,1020941850
2026-01-29,1.65,1.668,1.641,1.642,795783269
2026-01-28,1.639,1.66,1.63,1.66,977525379
2026-01-27,1.63,1.646,1.613,1.632,823286591
2026-01-26,1.66,1.661,1.624,1.628,835595391
2026-01-23,1.645,1.669,1.636,1.66,704412851
2026-01-22,1.666,1.677,1.629,1.633,565668562
2026-01-21,1.66,1.673,1.646,1.648,819358182
2026-01-20,1.669,1.688,1.654,1.663,727340264
2026-01-19,1.713,1.722,1.67,1.672,942054646
2026-01-16,1.731,1.747,1.716,1.728,843969700
2026-01-15,1.752,1.768,1.729,1.737,828351872
2026-01-14,1.759,1.777,1.72,1.752,1528944972
2026-01-13,1.74,1.784,1.723,1.728,1938203965
2026-01-12,1.74,1.76,1.705,1.724,1729851796
2026-01-09,1.696,1.738,1.684,1.737,1503031300
2026-01-08,1.721,1.741,1.71,1.714,1327173982
2026-01-07,1.647,1.714,1.646,1.704,2157136927
2026-01-06,1.651,1.655,1.626,1.646,1269320634
2026-01-05,1.54,1.652,1.54,1.643,2059615631
2025-12-31,1.557,1.564,1.535,1.536,564415032
2025-12-30,1.581,1.581,1.54,1.562,927302070
2025-12-29,1.616,1.619,1.576,1.58,995485344
2025-12-26,1.623,1.626,1.614,1.618,221039212
2025-12-25,1.626,1.627,1.619,1.624,192652096
2025-12-24,1.622,1.628,1.611,1.624,690695208
2025-12-23,1.634,1.654,1.62,1.63,673883217
2025-12-22,1.643,1.647,1.624,1.629,688836600
