date,open,high,low,close,volume
2026-03-19,1.077,1.091,1.058,1.066,577900394
2026-03-18,1.102,1.109,1.075,1.092,486534601
2026-03-17,1.135,1.141,1.102,1.102,605574617
2026-03-16,1.12,1.135,1.107,1.13,717222148
2026-03-13,1.122,1.151,1.121,1.124,471876694
2026-03-12,1.126,1.131,1.115,1.129,433923094
2026-03-11,1.098,1.136,1.092,1.123,928974118
2026-03-10,1.086,1.1,1.083,1.094,442685775
2026-03-09,1.045,1.078,1.029,1.073,383220073
2026-03-06,1.073,1.073,1.056,1.064,286983703
2026-03-05,1.083,1.085,1.061,1.069,268465834
2026-03-04,1.046,1.079,1.045,1.067,401774303
2026-03-03,1.103,1.11,1.066,1.068,643063009
2026-03-02,1.089,1.107,1.082,1.101,446043701
2026-02-27,1.089,1.101,1.086,1.1,423911087
2026-02-26,1.127,1.128,1.093,1.097,432972000
2026-02-25,1.096,1.127,1.095,1.118,615332212
2026-02-24,1.106,1.108,1.091,1.095,355754770
2026-02-13,1.089,1.101,1.084,1.088,309014100
2026-02-12,1.091,1.104,1.088,1.101,444405003
2026-02-11,1.069,1.094,1.067,1.09,569087540
2026-02-10,1.071,1.074,1.063,1.067,450788161
2026-02-09,1.075,1.08,1.062,1.071,344493200
2026-02-06,1.03,1.073,1.023,1.06,589776162
2026-02-05,1.055,1.06,1.034,1.041,394411800
2026-02-04,1.05,1.066,1.043,1.064,520202627
2026-02-03,1.041,1.051,1.027,1.05,456421529
2026-02-02,1.04,1.061,1.028,1.03,519232579
2026-01-30,1.069,1.069,1.031,1.058,728099124
2026-01-29,1.087,1.094,1.068,1.073,715285648
2026-01-28,1.095,1.095,1.071,1.09,729780283
2026-01-27,1.11,1.112,1.07,1.094,595227496
2026-01-26,1.135,1.141,1.108,1.111,634654013
2026-01-23,1.097,1.123,1.093,1.121,651017902
2026-01-22,1.114,1.122,1.09,1.097,567471694
2026-01-21,1.085,1.116,1.085,1.108,464926892
2026-01-20,1.118,1.122,1.08,1.092,621263124
2026-01-19,1.111,1.123,1.105,1.113,419654330
2026-01-16,1.118,1.127,1.108,1.112,643757117
